Command: /evprj153/projects/DuyQuang_DV1/Labs/ces_svtb_2019.06/labs/lab6b/./simv -l simv.log +ntb_random_seed=1
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP1-1; Runtime version W-2024.09-SP1-1;  May 18 04:40 2025
VCD+ Writer W-2024.09-SP1-1 Copyright (c) 1991-2024 by Synopsys Inc.
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09-SP1-1, Linux, 01/11/2025
(C) 1996 - 2025 by Synopsys, Inc.
*Verdi* : Create FSDB file 'novas.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : End of traversing.
[NOTE]13350.0ns Packet #30 Successfully Compared Cvrg = 64.45
[NOTE]13350.0ns Packet #31 Successfully Compared Cvrg = 64.45
[NOTE]13450.0ns Packet #32 Successfully Compared Cvrg = 64.58
[NOTE]14150.0ns Packet #33 Successfully Compared Cvrg = 66.80
[NOTE]14150.0ns Packet #34 Successfully Compared Cvrg = 66.93
[NOTE]15050.0ns Packet #35 Successfully Compared Cvrg = 67.06
[NOTE]15850.0ns Packet #36 Successfully Compared Cvrg = 67.19
[NOTE]15950.0ns Packet #37 Successfully Compared Cvrg = 67.32
[NOTE]16650.0ns Packet #38 Successfully Compared Cvrg = 69.53
[NOTE]16650.0ns Packet #39 Successfully Compared Cvrg = 69.66
[NOTE]16650.0ns Packet #40 Successfully Compared Cvrg = 69.79
[NOTE]16650.0ns Packet #41 Successfully Compared Cvrg = 69.92
[NOTE]16650.0ns Packet #42 Successfully Compared Cvrg = 70.05
[NOTE]16650.0ns Packet #43 Successfully Compared Cvrg = 70.18
[NOTE]16650.0ns Packet #44 Successfully Compared Cvrg = 70.31
[NOTE]16650.0ns Packet #45 Successfully Compared Cvrg = 70.44
[NOTE]17450.0ns Packet #46 Successfully Compared Cvrg = 72.66
[NOTE]17450.0ns Packet #47 Successfully Compared Cvrg = 72.79
[NOTE]17550.0ns Packet #48 Successfully Compared Cvrg = 72.79
[NOTE]19150.0ns Packet #49 Successfully Compared Cvrg = 72.92
[NOTE]19150.0ns Packet #50 Successfully Compared Cvrg = 73.05
[NOTE]19150.0ns Packet #51 Successfully Compared Cvrg = 73.18
[NOTE]19250.0ns Packet #52 Successfully Compared Cvrg = 73.18
[NOTE]19250.0ns Packet #53 Successfully Compared Cvrg = 73.31
[NOTE]19950.0ns Packet #54 Successfully Compared Cvrg = 73.44
[NOTE]19950.0ns Packet #55 Successfully Compared Cvrg = 73.57
[NOTE]20750.0ns Packet #56 Successfully Compared Cvrg = 73.70
[NOTE]21550.0ns Packet #57 Successfully Compared Cvrg = 73.83
[NOTE]21550.0ns Packet #58 Successfully Compared Cvrg = 73.96
[NOTE]21650.0ns Packet #59 Successfully Compared Cvrg = 74.09
[NOTE]21650.0ns Packet #60 Successfully Compared Cvrg = 74.22
[NOTE]21650.0ns Packet #61 Successfully Compared Cvrg = 74.35
[NOTE]21750.0ns Packet #62 Successfully Compared Cvrg = 74.48
[NOTE]22450.0ns Packet #63 Successfully Compared Cvrg = 74.61
[NOTE]22450.0ns Packet #64 Successfully Compared Cvrg = 74.74
[NOTE]22450.0ns Packet #65 Successfully Compared Cvrg = 74.87
[NOTE]22550.0ns Packet #66 Successfully Compared Cvrg = 75.00
[NOTE]23350.0ns Packet #67 Successfully Compared Cvrg = 75.13
[NOTE]24050.0ns Packet #68 Successfully Compared Cvrg = 75.26
[NOTE]24150.0ns Packet #69 Successfully Compared Cvrg = 75.26
[NOTE]24850.0ns Packet #70 Successfully Compared Cvrg = 75.39
[NOTE]24950.0ns Packet #71 Successfully Compared Cvrg = 75.52
[NOTE]25750.0ns Packet #72 Successfully Compared Cvrg = 75.65
[NOTE]25750.0ns Packet #73 Successfully Compared Cvrg = 75.78
[NOTE]25750.0ns Packet #74 Successfully Compared Cvrg = 75.91
[NOTE]25750.0ns Packet #75 Successfully Compared Cvrg = 76.04
[NOTE]26650.0ns Packet #76 Successfully Compared Cvrg = 76.17
[NOTE]26650.0ns Packet #77 Successfully Compared Cvrg = 76.30
[NOTE]27450.0ns Packet #78 Successfully Compared Cvrg = 76.43
[NOTE]28150.0ns Packet #79 Successfully Compared Cvrg = 76.56
[NOTE]28150.0ns Packet #80 Successfully Compared Cvrg = 76.69
[NOTE]28250.0ns Packet #81 Successfully Compared Cvrg = 76.82
[NOTE]29050.0ns Packet #82 Successfully Compared Cvrg = 76.95
[NOTE]29050.0ns Packet #83 Successfully Compared Cvrg = 77.08
[NOTE]29950.0ns Packet #84 Successfully Compared Cvrg = 77.21
[NOTE]29950.0ns Packet #85 Successfully Compared Cvrg = 77.34
[NOTE]30650.0ns Packet #86 Successfully Compared Cvrg = 77.34
[NOTE]30750.0ns Packet #87 Successfully Compared Cvrg = 77.47
[NOTE]31450.0ns Packet #88 Successfully Compared Cvrg = 77.60
[NOTE]31550.0ns Packet #89 Successfully Compared Cvrg = 77.73
[NOTE]31550.0ns Packet #90 Successfully Compared Cvrg = 77.86
[NOTE]32250.0ns Packet #91 Successfully Compared Cvrg = 77.99
[NOTE]32350.0ns Packet #92 Successfully Compared Cvrg = 78.12
[NOTE]32350.0ns Packet #93 Successfully Compared Cvrg = 78.26
[NOTE]32450.0ns Packet #94 Successfully Compared Cvrg = 78.39
[NOTE]32450.0ns Packet #95 Successfully Compared Cvrg = 78.52
[NOTE]33250.0ns Packet #96 Successfully Compared Cvrg = 78.52
[NOTE]33950.0ns Packet #97 Successfully Compared Cvrg = 78.52
[NOTE]34050.0ns Packet #98 Successfully Compared Cvrg = 78.65
[NOTE]34750.0ns Packet #99 Successfully Compared Cvrg = 78.78
[NOTE]34850.0ns Packet #100 Successfully Compared Cvrg = 78.91
[NOTE]34850.0ns Packet #101 Successfully Compared Cvrg = 78.91
[NOTE]35550.0ns Packet #102 Successfully Compared Cvrg = 79.04
[NOTE]35750.0ns Packet #103 Successfully Compared Cvrg = 79.17
[NOTE]36450.0ns Packet #104 Successfully Compared Cvrg = 79.30
[NOTE]36450.0ns Packet #105 Successfully Compared Cvrg = 79.30
[NOTE]36450.0ns Packet #106 Successfully Compared Cvrg = 79.43
[NOTE]36450.0ns Packet #107 Successfully Compared Cvrg = 79.43
[NOTE]36550.0ns Packet #108 Successfully Compared Cvrg = 79.56
[NOTE]36550.0ns Packet #109 Successfully Compared Cvrg = 79.69
[NOTE]36550.0ns Packet #110 Successfully Compared Cvrg = 79.82
[NOTE]37350.0ns Packet #111 Successfully Compared Cvrg = 79.82
[NOTE]38150.0ns Packet #112 Successfully Compared Cvrg = 79.82
[NOTE]38950.0ns Packet #113 Successfully Compared Cvrg = 79.95
[NOTE]39050.0ns Packet #114 Successfully Compared Cvrg = 79.95
[NOTE]39650.0ns Packet #115 Successfully Compared Cvrg = 80.08
[NOTE]39850.0ns Packet #116 Successfully Compared Cvrg = 80.21
[NOTE]39850.0ns Packet #117 Successfully Compared Cvrg = 80.34
[NOTE]40550.0ns Packet #118 Successfully Compared Cvrg = 80.34
[NOTE]40550.0ns Packet #119 Successfully Compared Cvrg = 80.34
[NOTE]40550.0ns Packet #120 Successfully Compared Cvrg = 80.47
[NOTE]41450.0ns Packet #121 Successfully Compared Cvrg = 80.47
[NOTE]41450.0ns Packet #122 Successfully Compared Cvrg = 80.47
[NOTE]42150.0ns Packet #123 Successfully Compared Cvrg = 80.47
[NOTE]43050.0ns Packet #124 Successfully Compared Cvrg = 80.60
[NOTE]43050.0ns Packet #125 Successfully Compared Cvrg = 80.73
[NOTE]43050.0ns Packet #126 Successfully Compared Cvrg = 80.73
[NOTE]43150.0ns Packet #127 Successfully Compared Cvrg = 80.86
[NOTE]43950.0ns Packet #128 Successfully Compared Cvrg = 80.86
[NOTE]43950.0ns Packet #129 Successfully Compared Cvrg = 80.99
[NOTE]44650.0ns Packet #130 Successfully Compared Cvrg = 81.12
[NOTE]44650.0ns Packet #131 Successfully Compared Cvrg = 81.25
[NOTE]44650.0ns Packet #132 Successfully Compared Cvrg = 81.25
[NOTE]45550.0ns Packet #133 Successfully Compared Cvrg = 81.38
[NOTE]45550.0ns Packet #134 Successfully Compared Cvrg = 81.51
[NOTE]45650.0ns Packet #135 Successfully Compared Cvrg = 81.64
[NOTE]46450.0ns Packet #136 Successfully Compared Cvrg = 81.77
[NOTE]47150.0ns Packet #137 Successfully Compared Cvrg = 81.90
[NOTE]47150.0ns Packet #138 Successfully Compared Cvrg = 81.90
[NOTE]47150.0ns Packet #139 Successfully Compared Cvrg = 82.03
[NOTE]47250.0ns Packet #140 Successfully Compared Cvrg = 82.16
[NOTE]48850.0ns Packet #141 Successfully Compared Cvrg = 82.29
[NOTE]48950.0ns Packet #142 Successfully Compared Cvrg = 82.29
[NOTE]49650.0ns Packet #143 Successfully Compared Cvrg = 82.42
[NOTE]49650.0ns Packet #144 Successfully Compared Cvrg = 82.42
[NOTE]49650.0ns Packet #145 Successfully Compared Cvrg = 82.55
[NOTE]49750.0ns Packet #146 Successfully Compared Cvrg = 82.55
[NOTE]50450.0ns Packet #147 Successfully Compared Cvrg = 82.55
[NOTE]50550.0ns Packet #148 Successfully Compared Cvrg = 82.68
[NOTE]51250.0ns Packet #149 Successfully Compared Cvrg = 82.68
[NOTE]51350.0ns Packet #150 Successfully Compared Cvrg = 82.68
[NOTE]52150.0ns Packet #151 Successfully Compared Cvrg = 82.81
[NOTE]52150.0ns Packet #152 Successfully Compared Cvrg = 82.94
[NOTE]52950.0ns Packet #153 Successfully Compared Cvrg = 83.07
[NOTE]52950.0ns Packet #154 Successfully Compared Cvrg = 83.07
[NOTE]53050.0ns Packet #155 Successfully Compared Cvrg = 83.07
[NOTE]53050.0ns Packet #156 Successfully Compared Cvrg = 83.07
[NOTE]53750.0ns Packet #157 Successfully Compared Cvrg = 83.20
[NOTE]53850.0ns Packet #158 Successfully Compared Cvrg = 83.33
[NOTE]54650.0ns Packet #159 Successfully Compared Cvrg = 83.33
[NOTE]54650.0ns Packet #160 Successfully Compared Cvrg = 83.46
[NOTE]54650.0ns Packet #161 Successfully Compared Cvrg = 83.46
[NOTE]55450.0ns Packet #162 Successfully Compared Cvrg = 83.59
[NOTE]55550.0ns Packet #163 Successfully Compared Cvrg = 83.59
[NOTE]56250.0ns Packet #164 Successfully Compared Cvrg = 83.59
[NOTE]56250.0ns Packet #165 Successfully Compared Cvrg = 83.59
[NOTE]56350.0ns Packet #166 Successfully Compared Cvrg = 83.72
[NOTE]56350.0ns Packet #167 Successfully Compared Cvrg = 83.72
[NOTE]57150.0ns Packet #168 Successfully Compared Cvrg = 83.72
[NOTE]57850.0ns Packet #169 Successfully Compared Cvrg = 83.72
[NOTE]57950.0ns Packet #170 Successfully Compared Cvrg = 83.85
[NOTE]57950.0ns Packet #171 Successfully Compared Cvrg = 83.98
[NOTE]58850.0ns Packet #172 Successfully Compared Cvrg = 83.98
[NOTE]59650.0ns Packet #173 Successfully Compared Cvrg = 83.98
[NOTE]59650.0ns Packet #174 Successfully Compared Cvrg = 83.98
[NOTE]59650.0ns Packet #175 Successfully Compared Cvrg = 84.11
[NOTE]59650.0ns Packet #176 Successfully Compared Cvrg = 84.11
[NOTE]60350.0ns Packet #177 Successfully Compared Cvrg = 84.24
[NOTE]60450.0ns Packet #178 Successfully Compared Cvrg = 84.38
[NOTE]61350.0ns Packet #179 Successfully Compared Cvrg = 84.38
[NOTE]61950.0ns Packet #180 Successfully Compared Cvrg = 84.38
[NOTE]62050.0ns Packet #181 Successfully Compared Cvrg = 84.38
[NOTE]62150.0ns Packet #182 Successfully Compared Cvrg = 84.51
