M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before ConstantPropagation : M=1313.93mb, Malloc-M=297mb, T=0s W=(2025-04-21 15:15:49)
STATS:: |   before UserConstantPropagation : M=1313.93mb, Malloc-M=297mb, T=0s W=(2025-04-21 15:15:49)
STATS:: |   after  UserConstantPropagation : M=1313.93mb, Malloc-M=297mb, T=0s W=(2025-04-21 15:15:49)
STATS:: |   before DynamicUserCasePropagation : M=1313.93mb, Malloc-M=297mb, T=0s W=(2025-04-21 15:15:49)
STATS:: |   after  DynamicUserCasePropagation : M=1313.93mb, Malloc-M=297mb, T=0s W=(2025-04-21 15:15:49)
STATS:: |   before HybridSeqPropagation : M=1313.93mb, Malloc-M=297mb, T=0s W=(2025-04-21 15:15:49)
STATS:: |   after  HybridSeqPropagation : M=1313.93mb, Malloc-M=297mb, T=0s W=(2025-04-21 15:15:49)
STATS:: |   before ReverseConstPropagationOnBiDir: M=1313.93mb, Malloc-M=297mb, T=0s W=(2025-04-21 15:15:49)
STATS:: |   after  ReverseConstPropagationOnBiDir: M=1313.93mb, Malloc-M=297mb, T=0s W=(2025-04-21 15:15:49)
STATS:: after  ConstantPropagation : M=1313.93mb, Malloc-M=297mb, T=0s W=(2025-04-21 15:15:49)
STATS:: before Check: check_fv : M=1313.93mb, Malloc-M=297mb, T=0s W=(2025-04-21 15:15:52)
STATS:: after  Check: check_fv : M=1313.93mb, Malloc-M=297mb, T=1s W=(2025-04-21 15:15:53)
