Command: /evprj153/projects/DuyQuang_DV1/Labs/ces_svtb_2019.06/labs/lab6a/./simv -l simv.log +ntb_random_seed=1 -cm line+fsm+tgl
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP1-1; Runtime version W-2024.09-SP1-1;  May 20 13:42 2025
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09-SP1-1, Linux, 01/11/2025
(C) 1996 - 2025 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'novas.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : End of traversing.
VCD+ Writer W-2024.09-SP1-1 Copyright (c) 1991-2024 by Synopsys Inc.
[NOTE]29850.0ns Packet #77 Successfully Compared Cvrg = 76.43
[NOTE]29950.0ns Packet #78 Successfully Compared Cvrg = 76.56
[NOTE]29950.0ns Packet #79 Successfully Compared Cvrg = 76.69
[NOTE]30650.0ns Packet #80 Successfully Compared Cvrg = 76.82
[NOTE]30650.0ns Packet #81 Successfully Compared Cvrg = 76.95
[NOTE]30750.0ns Packet #82 Successfully Compared Cvrg = 77.08
[NOTE]32350.0ns Packet #83 Successfully Compared Cvrg = 77.21
[NOTE]32450.0ns Packet #84 Successfully Compared Cvrg = 77.21
[NOTE]33150.0ns Packet #85 Successfully Compared Cvrg = 77.34
[NOTE]33950.0ns Packet #86 Successfully Compared Cvrg = 77.47
[NOTE]34050.0ns Packet #87 Successfully Compared Cvrg = 77.60
[NOTE]34050.0ns Packet #88 Successfully Compared Cvrg = 77.73
[NOTE]34050.0ns Packet #89 Successfully Compared Cvrg = 77.86
[NOTE]34050.0ns Packet #90 Successfully Compared Cvrg = 77.86
[NOTE]34750.0ns Packet #91 Successfully Compared Cvrg = 77.99
[NOTE]35650.0ns Packet #92 Successfully Compared Cvrg = 78.12
[NOTE]35750.0ns Packet #93 Successfully Compared Cvrg = 78.26
[NOTE]36550.0ns Packet #94 Successfully Compared Cvrg = 78.39
[NOTE]36550.0ns Packet #95 Successfully Compared Cvrg = 78.52
[NOTE]37250.0ns Packet #96 Successfully Compared Cvrg = 78.65
[NOTE]37250.0ns Packet #97 Successfully Compared Cvrg = 78.65
[NOTE]38150.0ns Packet #98 Successfully Compared Cvrg = 78.78
[NOTE]38150.0ns Packet #99 Successfully Compared Cvrg = 78.78
[NOTE]38150.0ns Packet #100 Successfully Compared Cvrg = 78.91
[NOTE]38250.0ns Packet #101 Successfully Compared Cvrg = 79.04
[NOTE]38850.0ns Packet #102 Successfully Compared Cvrg = 79.17
[NOTE]39050.0ns Packet #103 Successfully Compared Cvrg = 79.17
[NOTE]39050.0ns Packet #104 Successfully Compared Cvrg = 79.17
[NOTE]39750.0ns Packet #105 Successfully Compared Cvrg = 79.30
[NOTE]39750.0ns Packet #106 Successfully Compared Cvrg = 79.43
[NOTE]39750.0ns Packet #107 Successfully Compared Cvrg = 79.43
[NOTE]41350.0ns Packet #108 Successfully Compared Cvrg = 79.56
[NOTE]41350.0ns Packet #109 Successfully Compared Cvrg = 79.56
[NOTE]42250.0ns Packet #110 Successfully Compared Cvrg = 79.56
[NOTE]42250.0ns Packet #111 Successfully Compared Cvrg = 79.56
[NOTE]42250.0ns Packet #112 Successfully Compared Cvrg = 79.69
[NOTE]42250.0ns Packet #113 Successfully Compared Cvrg = 79.69
[NOTE]42250.0ns Packet #114 Successfully Compared Cvrg = 79.69
[NOTE]42350.0ns Packet #115 Successfully Compared Cvrg = 79.82
[NOTE]42350.0ns Packet #116 Successfully Compared Cvrg = 79.82
[NOTE]43150.0ns Packet #117 Successfully Compared Cvrg = 79.95
[NOTE]43850.0ns Packet #118 Successfully Compared Cvrg = 80.08
[NOTE]44650.0ns Packet #119 Successfully Compared Cvrg = 80.21
[NOTE]44750.0ns Packet #120 Successfully Compared Cvrg = 80.34
[NOTE]44750.0ns Packet #121 Successfully Compared Cvrg = 80.34
[NOTE]44850.0ns Packet #122 Successfully Compared Cvrg = 80.47
[NOTE]45650.0ns Packet #123 Successfully Compared Cvrg = 80.60
[NOTE]46350.0ns Packet #124 Successfully Compared Cvrg = 80.73
[NOTE]46350.0ns Packet #125 Successfully Compared Cvrg = 80.86
[NOTE]46350.0ns Packet #126 Successfully Compared Cvrg = 80.99
[NOTE]46350.0ns Packet #127 Successfully Compared Cvrg = 80.99
[NOTE]46450.0ns Packet #128 Successfully Compared Cvrg = 81.12
[NOTE]47150.0ns Packet #129 Successfully Compared Cvrg = 81.25
[NOTE]47150.0ns Packet #130 Successfully Compared Cvrg = 81.25
[NOTE]48850.0ns Packet #131 Successfully Compared Cvrg = 81.38
[NOTE]48850.0ns Packet #132 Successfully Compared Cvrg = 81.51
[NOTE]48850.0ns Packet #133 Successfully Compared Cvrg = 81.64
[NOTE]48950.0ns Packet #134 Successfully Compared Cvrg = 81.64
[NOTE]49650.0ns Packet #135 Successfully Compared Cvrg = 81.64
[NOTE]49650.0ns Packet #136 Successfully Compared Cvrg = 81.64
[NOTE]49650.0ns Packet #137 Successfully Compared Cvrg = 81.77
[NOTE]50550.0ns Packet #138 Successfully Compared Cvrg = 81.90
[NOTE]51250.0ns Packet #139 Successfully Compared Cvrg = 82.03
[NOTE]51250.0ns Packet #140 Successfully Compared Cvrg = 82.03
[NOTE]52150.0ns Packet #141 Successfully Compared Cvrg = 82.16
[NOTE]52150.0ns Packet #142 Successfully Compared Cvrg = 82.16
[NOTE]52150.0ns Packet #143 Successfully Compared Cvrg = 82.29
[NOTE]52250.0ns Packet #144 Successfully Compared Cvrg = 82.29
[NOTE]53850.0ns Packet #145 Successfully Compared Cvrg = 82.29
[NOTE]54650.0ns Packet #146 Successfully Compared Cvrg = 82.29
[NOTE]54650.0ns Packet #147 Successfully Compared Cvrg = 82.29
[NOTE]54650.0ns Packet #148 Successfully Compared Cvrg = 82.42
[NOTE]54650.0ns Packet #149 Successfully Compared Cvrg = 82.55
[NOTE]55450.0ns Packet #150 Successfully Compared Cvrg = 82.55
[NOTE]55450.0ns Packet #151 Successfully Compared Cvrg = 82.68
[NOTE]55550.0ns Packet #152 Successfully Compared Cvrg = 82.81
[NOTE]57150.0ns Packet #153 Successfully Compared Cvrg = 82.94
[NOTE]57950.0ns Packet #154 Successfully Compared Cvrg = 82.94
[NOTE]57950.0ns Packet #155 Successfully Compared Cvrg = 82.94
[NOTE]57950.0ns Packet #156 Successfully Compared Cvrg = 82.94
[NOTE]57950.0ns Packet #157 Successfully Compared Cvrg = 83.07
[NOTE]57950.0ns Packet #158 Successfully Compared Cvrg = 83.20
[NOTE]58750.0ns Packet #159 Successfully Compared Cvrg = 83.20
[NOTE]58750.0ns Packet #160 Successfully Compared Cvrg = 83.20
[NOTE]58750.0ns Packet #161 Successfully Compared Cvrg = 83.20
[NOTE]60450.0ns Packet #162 Successfully Compared Cvrg = 83.20
[NOTE]60450.0ns Packet #163 Successfully Compared Cvrg = 83.33
[NOTE]61250.0ns Packet #164 Successfully Compared Cvrg = 83.33
[NOTE]61250.0ns Packet #165 Successfully Compared Cvrg = 83.46
[NOTE]61250.0ns Packet #166 Successfully Compared Cvrg = 83.46
[NOTE]61250.0ns Packet #167 Successfully Compared Cvrg = 83.46
[NOTE]62050.0ns Packet #168 Successfully Compared Cvrg = 83.59
[NOTE]62050.0ns Packet #169 Successfully Compared Cvrg = 83.59
[NOTE]62050.0ns Packet #170 Successfully Compared Cvrg = 83.59
[NOTE]62050.0ns Packet #171 Successfully Compared Cvrg = 83.59
[NOTE]62850.0ns Packet #172 Successfully Compared Cvrg = 83.72
[NOTE]62950.0ns Packet #173 Successfully Compared Cvrg = 83.72
[NOTE]63750.0ns Packet #174 Successfully Compared Cvrg = 83.72
[NOTE]64550.0ns Packet #175 Successfully Compared Cvrg = 83.85
[NOTE]64550.0ns Packet #176 Successfully Compared Cvrg = 83.98
[NOTE]65350.0ns Packet #177 Successfully Compared Cvrg = 84.11
[NOTE]65350.0ns Packet #178 Successfully Compared Cvrg = 84.11
[NOTE]65350.0ns Packet #179 Successfully Compared Cvrg = 84.11
[NOTE]65350.0ns Packet #180 Successfully Compared Cvrg = 84.24
[NOTE]65350.0ns Packet #181 Successfully Compared Cvrg = 84.38
[NOTE]66150.0ns Packet #182 Successfully Compared Cvrg = 84.51
[NOTE]66250.0ns Packet #183 Successfully Compared Cvrg = 84.64
[NOTE]67050.0ns Packet #184 Successfully Compared Cvrg = 84.77
[NOTE]67850.0ns Packet #185 Successfully Compared Cvrg = 84.77
[NOTE]67850.0ns Packet #186 Successfully Compared Cvrg = 84.77
[NOTE]67850.0ns Packet #187 Successfully Compared Cvrg = 84.90
[NOTE]68650.0ns Packet #188 Successfully Compared Cvrg = 84.90
[NOTE]68650.0ns Packet #189 Successfully Compared Cvrg = 84.90
[NOTE]68750.0ns Packet #190 Successfully Compared Cvrg = 84.90
[NOTE]68750.0ns Packet #191 Successfully Compared Cvrg = 84.90
[NOTE]69450.0ns Packet #192 Successfully Compared Cvrg = 84.90
[NOTE]69450.0ns Packet #193 Successfully Compared Cvrg = 84.90
[NOTE]70250.0ns Packet #194 Successfully Compared Cvrg = 84.90
[NOTE]70350.0ns Packet #195 Successfully Compared Cvrg = 84.90
[NOTE]70350.0ns Packet #196 Successfully Compared Cvrg = 84.90
[NOTE]71950.0ns Packet #197 Successfully Compared Cvrg = 85.03
[NOTE]71950.0ns Packet #198 Successfully Compared Cvrg = 85.03
[NOTE]72750.0ns Packet #199 Successfully Compared Cvrg = 85.03
[NOTE]72750.0ns Packet #200 Successfully Compared Cvrg = 85.16
[NOTE]72750.0ns Packet #201 Successfully Compared Cvrg = 85.16
[NOTE]72850.0ns Packet #202 Successfully Compared Cvrg = 85.16
[NOTE]72850.0ns Packet #203 Successfully Compared Cvrg = 85.29
[NOTE]72850.0ns Packet #204 Successfully Compared Cvrg = 85.42
[NOTE]74450.0ns Packet #205 Successfully Compared Cvrg = 85.55
[NOTE]75250.0ns Packet #206 Successfully Compared Cvrg = 85.68
[NOTE]75250.0ns Packet #207 Successfully Compared Cvrg = 85.81
[NOTE]75250.0ns Packet #208 Successfully Compared Cvrg = 85.81
[NOTE]75350.0ns Packet #209 Successfully Compared Cvrg = 85.94
[NOTE]75350.0ns Packet #210 Successfully Compared Cvrg = 86.07
[NOTE]76050.0ns Packet #211 Successfully Compared Cvrg = 86.07
[NOTE]76050.0ns Packet #212 Successfully Compared Cvrg = 86.07
[NOTE]76150.0ns Packet #213 Successfully Compared Cvrg = 86.07
[NOTE]76850.0ns Packet #214 Successfully Compared Cvrg = 86.20
[NOTE]76950.0ns Packet #215 Successfully Compared Cvrg = 86.33
[NOTE]77750.0ns Packet #216 Successfully Compared Cvrg = 86.33
[NOTE]77750.0ns Packet #217 Successfully Compared Cvrg = 86.33
[NOTE]77750.0ns Packet #218 Successfully Compared Cvrg = 86.46
[NOTE]79350.0ns Packet #219 Successfully Compared Cvrg = 86.59
[NOTE]79450.0ns Packet #220 Successfully Compared Cvrg = 86.59
[NOTE]80150.0ns Packet #221 Successfully Compared Cvrg = 86.72
[NOTE]80150.0ns Packet #222 Successfully Compared Cvrg = 86.72
[NOTE]80150.0ns Packet #223 Successfully Compared Cvrg = 86.85
[NOTE]80250.0ns Packet #224 Successfully Compared Cvrg = 86.98
